angry0,angry1,box0,box1,disgust0,disgust1,fear0,fear1,happy0,happy1,neutral0,neutral1,sad0,sad1,surprise0,surprise1
0.06,,[ 79  17 135 135],,0.0,,0.63,,0.02,,0.14,,0.12,,0.02,
0.05,,[ 78  18 136 136],,0.0,,0.75,,0.01,,0.06,,0.07,,0.06,
0.07,,[ 67  14 146 146],,0.0,,0.54,,0.01,,0.02,,0.08,,0.28,
0.06,,[ 66  14 147 147],,0.0,,0.5,,0.01,,0.02,,0.08,,0.33,
0.04,,[ 68  15 146 146],,0.0,,0.54,,0.01,,0.01,,0.09,,0.31,
0.07,,[ 67  15 144 144],,0.0,,0.47,,0.01,,0.02,,0.13,,0.3,
0.08,,[ 77  17 138 138],,0.0,,0.45,,0.02,,0.26,,0.17,,0.02,
0.13,,[ 77  18 136 136],,0.0,,0.37,,0.0,,0.16,,0.31,,0.03,
0.11,,[ 69  20 131 131],,0.0,,0.54,,0.0,,0.03,,0.13,,0.17,
0.09,,[ 71  20 131 131],,0.0,,0.47,,0.0,,0.03,,0.2,,0.21,
0.25,,[ 60  11 147 147],,0.0,,0.43,,0.0,,0.04,,0.24,,0.03,
0.09,,[ 66  16 142 142],,0.0,,0.49,,0.0,,0.05,,0.18,,0.19,
0.03,,[ 64  18 141 141],,0.0,,0.5,,0.0,,0.0,,0.04,,0.43,
0.03,,[ 64  18 141 141],,0.0,,0.49,,0.0,,0.0,,0.04,,0.44,
0.03,,[ 81  19 136 136],,0.0,,0.53,,0.0,,0.03,,0.27,,0.13,
0.04,,[ 76  20 138 138],,0.0,,0.31,,0.0,,0.12,,0.49,,0.04,
0.08,,[ 74  18 140 140],,0.0,,0.24,,0.0,,0.26,,0.39,,0.02,
0.08,,[ 73  17 141 141],,0.0,,0.27,,0.0,,0.16,,0.48,,0.02,
0.09,,[ 73  17 141 141],,0.0,,0.29,,0.0,,0.13,,0.46,,0.02,
0.13,,[ 70  19 139 139],,0.0,,0.23,,0.0,,0.27,,0.35,,0.02,
0.03,,[ 72  19 140 140],,0.0,,0.64,,0.0,,0.03,,0.11,,0.18,
0.03,,[ 75  20 142 142],,0.0,,0.54,,0.0,,0.02,,0.19,,0.21,
0.02,,[ 77  19 142 142],,0.0,,0.59,,0.0,,0.01,,0.23,,0.16,
0.03,,[ 84  19 140 140],,0.0,,0.69,,0.0,,0.01,,0.21,,0.07,
